韩遂
马腾
马超
刘备
公孙瓒
公孙越
卢植
关羽
关平
张苞
张飞
庞统
黄忠
赵云
魏延
庞德公
糜氏
糜芳
糜竺
马良
孟获
沙摩柯
马谡
祝融
法正
蒋琬
徐庶
刘胜
刘启
甘氏
刘禅
姜维
诸葛亮
诸葛瞻
黄月英
诸葛瑾
黄承彦
高顺
陈宫
张辽
丁原
吕布
貂蝉
王允
董卓
刘辩
刘协
张角
张宝
张梁
袁绍
袁谭
袁术
袁熙
袁尚
刘表
黄祖
文聘
蔡氏
蔡瑁
蒯越
清河公主
夏侯琳
夏侯渊
夏侯淳
曹操
曹真
曹爽
郭嘉
徐晃
乐进
张郃
许诸
典韦
荀彧
荀攸
贾诩
司马懿
程昱
于禁
邓艾
钟会
庞德
司马昭
司马炎
张绣
吕伯奢
邹氏
曹嵩
曹仁
曹纯
刘氏
曹昂
卞氏
曹丕
曹植
甄姬
孙权
孙策
孙坚
吴国太
孙尚香
大乔
陆逊
小乔
周瑜
丁奉
徐盛
吕蒙
甘宁
黄盖
韩当
程普
鲁肃
张昭
蒋钦
太史慈
周泰
凌统
